Nro.,Cargo,Sexo,Edad,Facultad,Mejores características,Importancia,Beneficios,EUCALIPTO,SAUCE COMÚN ,TUYA,PALMA DATILERA,GUARARO,LUMA,MORERA,CEIBO,CEDRO ,AGUACATE ,ARABISCO ,GUABA,NÍSPERO ,PALMA ORNAMENTAL ,GUAYACÁN ,HIBISCUS ,SICOMORO,ARAUCARIA,HIGUERA,TILO,GUATO,POMARROSA,ARRAYÁN,PUMAMAQUI ,CEDRO COLORADO , CALISTEMO O CEPILLO ROJO,SWARTZIA,ROMERILLO,DURAZNO,ACACIA BLANCA, TECOMA,MAGNOLIA,SAUCE PIRAMIDAL,GUALLAG O GUAYALO,FRESNO,PINO,COCO NEGRO, SANGUILAMO,LEUCAENA,SECOYA,CIPRÉ,ARUPO ,CAPULÍ ,NOGAL,FICUS RETUSA,NANUME,CIPRÉ,CASUARINA,ALISO,CIPRÉ,PROSOPIS,FAIQUE,PALMA FÉNIX,SOLANUM,CHIRIMOYA,TORONCHE
34,Estudiante,Mujer,26,Educación a Distancia,"Flores, Frutos, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Reducen la erosión",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
35,Docente,Mujer,29,"Facultad Jurídica, Social y Administrativa",Forma de la copa,5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,3,4,3,5,5,5,3,4,5,3,4,4,3,4,4,3,5,1,1,4,5,5,5,4,5,5,4,5,3,3,5,2,5,3,5,5,3,4,5,5,1,5,4,4,1,0,3,4,5,3,2,5,1,5,0
36,Estudiante,Hombre,20,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables","Hojas, Flores, Frutos",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Producen oxígeno",5,4,4,4,4,5,4,4,5,4,4,4,5,4,5,4,4,4,5,4,4,4,5,4,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,5,4,3,4,4,5,5
37,Docente,Hombre,57,"Facultad de la Educación, el Arte y la Comunicación","Flores, Frutos, Tronco",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Producen oxígeno",4,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5
38,Estudiante,Hombre,20,Facultad Agropecuaria y de Recursos Naturales Renovables,"Flores, Frutos, Corteza",3,"Embellecen el lugar, Dan sombra y regulan la temperatura, Almacenan carbono",4,3,2,4,5,3,5,4,2,4,3,2,2,3,4,1,3,2,2,5,5,3,4,3,4,3,4,2,3,2,4,3,4,3,3,1,4,3,3,2,5,2,2,1,1,5,3,5,5,4,4,3,2,3,2,3
39,Estudiante,Mujer,18,Educación a Distancia,Forma de la copa,5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Producen oxígeno",5,5,5,4,3,5,5,5,5,3,4,5,4,5,5,5,4,5,4,5,4,2,5,4,5,5,5,4,5,5,5,5,4,5,5,5,4,5,4,5,5,3,4,5,4,4,5,5,3,5,4,4,5,3,3,5
40,Estudiante,Hombre,35,"Facultad de la Energía, las Industrias y los Recursos Naturales no Renovables","Forma de la copa, Flores, Tronco",5,"Dan sombra y regulan la temperatura, Reducen la erosión, Refugio de vida silvestre",5,5,4,5,4,4,3,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,4,4,4
41,Estudiante,Hombre,21,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
42,Estudiante,Hombre,43,Educación a Distancia,"Forma de la copa, Flores, Frutos",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Refugio de vida silvestre",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
43,Administrativo,Mujer,44,Administración Central,"Hojas, Flores, Frutos",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Refugio de vida silvestre",4,4,4,4,5,4,4,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,4,5,4,4,5,4,4,4,4,5,5
44,Docente,Hombre,34,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Flores, Tronco",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Refugio de vida silvestre",5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,4,4,5,4,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,3,4,5,5,5,5,4,5,5,4,4,4,5,4,4,5,3,4,4
45,Estudiante,Mujer,20,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Hojas, Flores",4,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",4,4,4,3,3,5,5,4,3,4,4,4,3,4,4,3,3,5,4,4,4,5,5,5,2,5,5,4,5,3,3,5,4,5,3,5,4,3,3,5,5,4,3,3,4,3,3,3,3,4,5,5,5,4,4,3
46,Estudiante,Hombre,22,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Frutos",4,"Embellecen el lugar, Dan sombra y regulan la temperatura, Producen oxígeno",4,3,4,4,3,5,4,3,4,4,3,5,4,3,5,3,3,4,4,4,4,3,4,3,4,3,3,3,3,3,4,3,3,3,4,3,4,3,4,4,3,3,3,4,3,3,4,3,3,4,3,4,3,3,3,4
47,Estudiante,Hombre,27,Educación a Distancia,"Forma de la copa, Frutos, Tronco",5,"Dan sombra y regulan la temperatura, Producen oxígeno, Reducen la erosión",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
48,Estudiante,Hombre,42,Posgrado (Maestrías),"Forma de la copa, Flores, Frutos",5,"Embellecen el lugar, Producen oxígeno, Refugio de vida silvestre",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
49,Estudiante,Mujer,20,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores, Frutos",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Producen oxígeno",3,3,3,5,3,4,4,4,4,4,3,4,4,5,3,3,4,3,3,3,3,3,4,4,3,4,3,3,5,4,4,5,3,3,4,4,5,3,3,3,4,4,3,5,4,4,3,3,3,3,3,4,5,2,3,4
50,Estudiante,Hombre,22,"Facultad Jurídica, Social y Administrativa","Hojas, Raíces, Tronco",4,"Embellecen el lugar, Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura",5,2,2,4,5,3,4,5,4,5,3,3,5,3,5,4,1,4,0,5,2,4,3,3,4,3,3,4,5,4,4,5,2,4,3,5,4,3,3,5,5,5,5,3,2,4,5,5,3,5,4,2,2,4,5,3
51,Docente,Hombre,58,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Frutos",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",1,4,4,3,4,5,4,3,4,4,5,4,4,3,5,4,4,4,5,5,5,5,5,4,4,5,5,4,5,5,4,4,4,5,5,3,4,5,5,4,4,5,5,5,5,4,3,2,4,3,4,4,3,4,5,5
